212.129.152.41 - - [18/May/2021:01:29:08 +0800] "GET http://www.hbszszj.com/index.php?m=content&c=index&a=show&catid=28&id=312 HTTP/1.1" 200 5937 "-" "Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36"[Klt303]
61.135.15.179 - - [18/May/2021:02:10:25 +0800] "GET http://hbszszj.xg24.osdlwdj.com/ HTTP/1.1" 200 16090 "-" "Mozilla/5.0 (Linux; Android 9; RMX1971 Build/PKQ1.190101.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 T7/11.19 SP-engine/2.15.0 baiduboxapp/11.19.5.10 (Baidu; P1 9)"[Klt303]
61.135.15.179 - - [18/May/2021:02:10:25 +0800] "GET http://hbszszj.xg24.osdlwdj.com/css/commonss.css HTTP/1.1" 200 1790 "-" "Mozilla/5.0 (Linux; Android 9; RMX1971 Build/PKQ1.190101.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 T7/11.19 SP-engine/2.15.0 baiduboxapp/11.19.5.10 (Baidu; P1 9)"[t4]
61.135.15.179 - - [18/May/2021:02:10:25 +0800] "GET http://hbszszj.xg24.osdlwdj.com/css/index.css HTTP/1.1" 200 11822 "-" "Mozilla/5.0 (Linux; Android 9; RMX1971 Build/PKQ1.190101.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 T7/11.19 SP-engine/2.15.0 baiduboxapp/11.19.5.10 (Baidu; P1 9)"[t4]
61.135.15.179 - - [18/May/2021:02:10:25 +0800] "GET http://hbszszj.xg24.osdlwdj.com/css/media.css HTTP/1.1" 200 11158 "-" "Mozilla/5.0 (Linux; Android 9; RMX1971 Build/PKQ1.190101.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 T7/11.19 SP-engine/2.15.0 baiduboxapp/11.19.5.10 (Baidu; P1 9)"[t9]
61.135.15.179 - - [18/May/2021:02:10:25 +0800] "GET http://hbszszj.xg24.osdlwdj.com/css/animate.min.css HTTP/1.1" 200 78544 "-" "Mozilla/5.0 (Linux; Android 9; RMX1971 Build/PKQ1.190101.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 T7/11.19 SP-engine/2.15.0 baiduboxapp/11.19.5.10 (Baidu; P1 9)"[t125]
54.36.148.179 - - [18/May/2021:02:17:11 +0800] "GET http://hbszszj.com/ HTTP/1.1" 200 4175 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"[KLlt114]
117.136.53.71 - - [18/May/2021:02:30:31 +0800] "GET http://www.hbszszj.com/index.php?m=content&c=index&a=show&catid=63&id=333 HTTP/1.1" 200 4473 "-" "Mozilla/5.0 (Linux; U; Android 11; zh-CN; V2047A Build/RP1A.200720.012) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 UWS/3.22.0.36 Mobile Safari/537.36 AliApp(DingTalk/6.0.14) com.alibaba.android.rimet/14815785 Channel/10003993 language/zh-CN UT4Aplus/0.2.25 colorScheme/light"[KLlt306]
117.136.53.71 - - [18/May/2021:02:30:31 +0800] "GET http://www.hbszszj.com/css/index.css HTTP/1.1" 200 11822 "http://www.hbszszj.com/index.php?m=content&c=index&a=show&catid=63&id=333" "Mozilla/5.0 (Linux; U; Android 11; zh-CN; V2047A Build/RP1A.200720.012) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 UWS/3.22.0.36 Mobile Safari/537.36 AliApp(DingTalk/6.0.14) com.alibaba.android.rimet/14815785 Channel/10003993 language/zh-CN UT4Aplus/0.2.25 colorScheme/light"[Lt98]
117.136.53.71 - - [18/May/2021:02:30:31 +0800] "GET http://www.hbszszj.com/js/js/swiper.min.css HTTP/1.1" 200 13666 "http://www.hbszszj.com/index.php?m=content&c=index&a=show&catid=63&id=333" "Mozilla/5.0 (Linux; U; Android 11; zh-CN; V2047A Build/RP1A.200720.012) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 UWS/3.22.0.36 Mobile Safari/537.36 AliApp(DingTalk/6.0.14) com.alibaba.android.rimet/14815785 Channel/10003993 language/zh-CN UT4Aplus/0.2.25 colorScheme/light"[Lt8]
117.136.53.71 - - [18/May/2021:02:30:31 +0800] "GET http://www.hbszszj.com/css/media.css HTTP/1.1" 200 11158 "http://www.hbszszj.com/index.php?m=content&c=index&a=show&catid=63&id=333" "Mozilla/5.0 (Linux; U; Android 11; zh-CN; V2047A Build/RP1A.200720.012) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 UWS/3.22.0.36 Mobile Safari/537.36 AliApp(DingTalk/6.0.14) com.alibaba.android.rimet/14815785 Channel/10003993 language/zh-CN UT4Aplus/0.2.25 colorScheme/light"[Lt0]
